model,arm,phase3_type,image_idx,y_true,k_corr,phase1_l2,phase1_queries,winning_corruption,best_l2,final_l2,IR_phase3,n_gens,queries_phase3,p1_jpeg,p1_blur,p1_brightness,p1_contrast,p1_inversion,p1_hue_shift,p1_posterize,p1_fractal_random,p1_low_freq_rand
standard,E_corr,corrupt_sub,160,4,9,0.3419370873407896,388,hue_shift,0.19718672061749956,0.19718672061749956,0.4233245590555827,17,1123,0.4187569297398858,2.448677518189641,4.648996240805331,3.651045976208047,3.6501873170133696,0.3419370873407896,1.0051636483028232,0.407280000875592,0.6296107893588723
robust,C_full,pixel,160,4,6,4.870392762959006,289,blur,4.870375976859426,4.880437462641304,3.446559732786378e-06,3,1237,,4.870392762959006,11.73999683741761,19.285912199262224,19.28552469221844,,,5.711368308242356,9.537106988568643
robust,E_rand,random_sub,160,4,6,4.870392762959006,289,blur,4.866621309962389,4.866702836387093,0.0007743632146671648,17,1225,,4.870392762959006,11.73999683741761,19.285912199262224,19.28552469221844,,,5.711368308242356,9.537106988568643
robust,E_corr,corrupt_sub,160,4,6,4.870392762959006,289,blur,4.462222805786266,4.466026045765168,0.0838063739493479,19,1230,,4.870392762959006,11.73999683741761,19.285912199262224,19.28552469221844,,,5.711368308242356,9.537106988568643
standard,C_full,pixel,161,0,6,0.9443668224681852,252,fractal_random,0.9443668224681852,0.953617794485777,0.0,2,1274,3.5691362408492306,,29.125578628858914,,11.403242130772197,,4.189507611574059,0.9443668224681852,12.599939436652495
standard,E_rand,random_sub,161,0,6,0.9443668224681852,252,fractal_random,0.9430918066884645,0.9439752546045447,0.0013501276721987145,14,1258,3.5691362408492306,,29.125578628858914,,11.403242130772197,,4.189507611574059,0.9443668224681852,12.599939436652495
standard,E_corr,corrupt_sub,161,0,6,0.9443668224681852,252,fractal_random,0.8638921656162062,0.874878281426355,0.08521546388261653,13,1248,3.5691362408492306,,29.125578628858914,,11.403242130772197,,4.189507611574059,0.9443668224681852,12.599939436652495
robust,C_full,pixel,161,0,6,1.3650214965643048,260,jpeg,1.05266341516947,1.05266341516947,0.22883015555507766,15,1265,1.3650214965643048,,8.236979171985519,3.517933085260008,,,1.9635213507128695,1.5819456311384423,9.356786163480072
robust,E_rand,random_sub,161,0,6,1.3650214965643048,260,jpeg,1.3643758119677754,1.3643758119699205,0.00047302155911436566,16,1267,1.3650214965643048,,8.236979171985519,3.517933085260008,,,1.9635213507128695,1.5819456311384423,9.356786163480072
robust,E_corr,corrupt_sub,161,0,6,1.3650214965643048,260,jpeg,0.7600225686660914,0.7663368663162475,0.4432156778636581,19,1256,1.3650214965643048,,8.236979171985519,3.517933085260008,,,1.9635213507128695,1.5819456311384423,9.356786163480072
