model,arm,image_idx,y_true,k_total,phase1_l2,phase1_queries,winning_corruption,best_l2,final_l2,IR_phase3,n_gens,queries_phase3,p1_jpeg,p1_blur,p1_brightness,p1_contrast,p1_inversion,p1_hue_shift,p1_posterize,p1_fractal_random,p1_sharpen,p1_saturation,p1_gamma
robust,E_sep_k14,117,8,14,7.293949784012274,155,fractal_random,4.482760533799537,4.487451111902091,0.3854138475664623,23,1349,,,20.71983746446013,,,,,7.293949784012274,,,20.21660191589063
robust,E_full_k14,117,8,14,7.293949784012274,155,fractal_random,5.071300605843338,5.114193195221509,0.3047250452753043,18,1360,,,20.71983746446013,,,,,7.293949784012274,,,20.21660191589063
robust,E_full_k14_lam28,117,8,14,7.293949784012274,155,fractal_random,4.359402565595554,4.359402565595554,0.4023262162907951,18,1346,,,20.71983746446013,,,,,7.293949784012274,,,20.21660191589063
standard,E_sep_k14,118,9,14,3.766585741557926,198,blur,3.7616307668430258,3.873290195528972,0.001315508275898311,14,1329,,3.766585741557926,27.409503063513394,15.154628724056481,,,,6.013196674504178,,,
standard,E_full_k14,118,9,14,3.766585741557926,198,blur,3.746397306843216,4.0519431137506015,0.005359876583178316,15,1316,,3.766585741557926,27.409503063513394,15.154628724056481,,,,6.013196674504178,,,
standard,E_full_k14_lam28,118,9,14,3.766585741557926,198,blur,3.766585741557926,4.023816268654378,0.0,11,1329,,3.766585741557926,27.409503063513394,15.154628724056481,,,,6.013196674504178,,,
robust,E_sep_k14,118,9,14,8.59448772722012,204,blur,8.350272802965549,8.4484544918142,0.028415297340073364,14,1318,,8.59448772722012,18.3778159408631,11.436558611929494,,,,11.544070540397339,,,
robust,E_full_k14,118,9,14,8.59448772722012,204,blur,8.270437953202881,8.40300632306431,0.03770437334978335,14,1312,,8.59448772722012,18.3778159408631,11.436558611929494,,,,11.544070540397339,,,
robust,E_full_k14_lam28,118,9,14,8.59448772722012,204,blur,8.36420498943786,8.47150070530337,0.026794236619003695,12,1302,,8.59448772722012,18.3778159408631,11.436558611929494,,,,11.544070540397339,,,
standard,E_sep_k14,119,1,14,0.7056497596316911,298,fractal_random,0.5307039808570964,0.5307087288289501,0.24792154519531961,18,1216,1.099014601790549,1.8134092958011439,14.440723685269708,8.830677417213531,,6.170447429046845,10.336475434722127,0.7056497596316911,,,
standard,E_full_k14,119,1,14,0.7056497596316911,298,fractal_random,0.5397901512649156,0.553415705038582,0.23504522761170463,18,1229,1.099014601790549,1.8134092958011439,14.440723685269708,8.830677417213531,,6.170447429046845,10.336475434722127,0.7056497596316911,,,
standard,E_full_k14_lam28,119,1,14,0.7056497596316911,298,fractal_random,0.5625873198572185,0.5651899243753267,0.2027385935044362,15,1215,1.099014601790549,1.8134092958011439,14.440723685269708,8.830677417213531,,6.170447429046845,10.336475434722127,0.7056497596316911,,,
robust,E_sep_k14,119,1,14,4.187973586327117,249,blur,3.758907992991018,3.758907992991018,0.10245183845879806,16,1272,4.674845681076376,4.187973586327117,10.164502675841895,8.513357025608663,,,,6.060667779324555,,,
robust,E_full_k14,119,1,14,4.187973586327117,249,blur,3.983235812722424,4.170221845210164,0.04888707375641531,15,1278,4.674845681076376,4.187973586327117,10.164502675841895,8.513357025608663,,,,6.060667779324555,,,
robust,E_full_k14_lam28,119,1,14,4.187973586327117,249,blur,3.856424090123789,3.890981687133921,0.07916704567711932,13,1261,4.674845681076376,4.187973586327117,10.164502675841895,8.513357025608663,,,,6.060667779324555,,,
standard,E_sep_k14,120,2,14,0.730655273921162,299,fractal_random,0.6838077312669691,0.6838077312669691,0.0641171621232255,16,1228,1.4752818140910477,1.5801767329366085,16.29241142964118,7.51232622697672,,,3.629798625408711,0.730655273921162,,,24.236379660625207
standard,E_full_k14,120,2,14,0.730655273921162,299,fractal_random,0.7006849427812727,0.7297256948212287,0.04101842853887776,14,1228,1.4752818140910477,1.5801767329366085,16.29241142964118,7.51232622697672,,,3.629798625408711,0.730655273921162,,,24.236379660625207
standard,E_full_k14_lam28,120,2,14,0.730655273921162,299,fractal_random,0.7136419574049577,0.7226543176424064,0.023285011582685224,11,1228,1.4752818140910477,1.5801767329366085,16.29241142964118,7.51232622697672,,,3.629798625408711,0.730655273921162,,,24.236379660625207
robust,E_sep_k14,120,2,14,5.1348808025064345,244,fractal_random,2.842407085857037,2.8849349224039673,0.4464512039949197,20,1280,,8.350890322859964,9.135690425326265,7.40742978613127,,,,5.1348808025064345,,,16.52853042430766
robust,E_full_k14,120,2,14,5.1348808025064345,244,fractal_random,2.7346607262338836,2.7346607262338836,0.46743442907203553,18,1282,,8.350890322859964,9.135690425326265,7.40742978613127,,,,5.1348808025064345,,,16.52853042430766
robust,E_full_k14_lam28,120,2,14,5.1348808025064345,244,fractal_random,2.8145994053786554,2.8145994053786554,0.45186665209350235,15,1267,,8.350890322859964,9.135690425326265,7.40742978613127,,,,5.1348808025064345,,,16.52853042430766
standard,E_sep_k14,121,9,14,3.795984390619116,308,blur,3.480789036748082,3.544287751417543,0.08303389093220857,8,1218,7.477546160619918,3.795984390619116,29.183170619486038,13.780939585090309,,,10.043435870823945,5.06657899347244,,,17.414849158469444
standard,E_full_k14,121,9,14,3.795984390619116,308,blur,3.12227784339374,3.1440727654616962,0.1774787454053508,15,1194,7.477546160619918,3.795984390619116,29.183170619486038,13.780939585090309,,,10.043435870823945,5.06657899347244,,,17.414849158469444
standard,E_full_k14_lam28,121,9,14,3.795984390619116,308,blur,3.2141007346812467,3.305138525910698,0.15328926467028106,14,1211,7.477546160619918,3.795984390619116,29.183170619486038,13.780939585090309,,,10.043435870823945,5.06657899347244,,,17.414849158469444
robust,E_sep_k14,121,9,14,6.467169114457167,296,blur,6.2225227166708645,6.344965661903759,0.03782897794328622,13,1213,,6.467169114457167,18.387261874708937,9.265177034460068,9.265216779951816,,,11.315421088480225,,,19.68969351592033
robust,E_full_k14,121,9,14,6.467169114457167,296,blur,6.3078215396321635,7.337910320945851,0.024639463110495478,13,1211,,6.467169114457167,18.387261874708937,9.265177034460068,9.265216779951816,,,11.315421088480225,,,19.68969351592033
robust,E_full_k14_lam28,121,9,14,6.467169114457167,296,blur,6.316872217230539,6.41329046769402,0.02323998252815794,10,1218,,6.467169114457167,18.387261874708937,9.265177034460068,9.265216779951816,,,11.315421088480225,,,19.68969351592033
standard,E_sep_k14,122,7,14,3.342214207969651,355,blur,3.2910127436193957,3.455224074045711,0.015319623807523573,17,1166,3.658817854714567,3.342214207969651,24.349940117143326,10.377388481217725,10.377412319179289,,5.886133098385163,4.883897104220244,6.211848960650896,,
standard,E_full_k14,122,7,14,3.342214207969651,355,blur,3.341447454079641,3.3416149733639022,0.00022941494539208826,5,1171,3.658817854714567,3.342214207969651,24.349940117143326,10.377388481217725,10.377412319179289,,5.886133098385163,4.883897104220244,6.211848960650896,,
standard,E_full_k14_lam28,122,7,14,3.342214207969651,355,blur,3.3419648615702324,3.399179524818657,7.460515212462188e-05,4,1171,3.658817854714567,3.342214207969651,24.349940117143326,10.377388481217725,10.377412319179289,,5.886133098385163,4.883897104220244,6.211848960650896,,
robust,E_sep_k14,122,7,14,6.04074380738945,248,blur,5.376731376744244,5.376731376744244,0.10992229629618473,16,1269,6.941650678127733,6.04074380738945,17.947781287043224,7.712957292637905,,,,7.295753755274584,,,
robust,E_full_k14,122,7,14,6.04074380738945,248,blur,5.520524051461792,5.544838774105984,0.08611849343640263,16,1277,6.941650678127733,6.04074380738945,17.947781287043224,7.712957292637905,,,,7.295753755274584,,,
