model,arm,phase1_type,phase3_cfg,image_idx,y_true,phase1_l2_uniform,phase1_l2,phase1_queries,winning_corruption,jpeg_l2,blur_l2,fractal_l2,best_l2,final_l2,IR_phase3,IR_total,n_gens,queries_phase3
standard,C,corruption,lam28_xi1.0_tau3,125,5,3.223903952732419,1.7830043074714177,135,blur,2.7711355350220575,1.7830043074714177,3.8273980434078334,1.7716744322658102,1.7716744322658102,0.006354373434843251,0.4504568193589552,20,1367
standard,D,corruption,lam14_xi0.75_tau3,125,5,3.223903952732419,1.7830043074714177,135,blur,2.7711355350220575,1.7830043074714177,3.8273980434078334,1.764459938913047,1.764459938913047,0.010400630262452621,0.45269463210354655,27,1384
robust,A,uniform,lam28_xi1.0_tau3,125,5,8.145083617230965,8.145083617230965,27,,,,,7.819508945079532,7.839036966696721,0.03997192508406887,0.03997192508406887,15,1475
robust,B,uniform,lam14_xi0.75_tau3,125,5,8.145083617230965,8.145083617230965,27,,,,,7.944764974848794,7.963825118469816,0.024593810425518003,0.024593810425518003,10,1499
robust,C,corruption,lam28_xi1.0_tau3,125,5,8.145083617230965,6.406038069595723,97,blur,,6.406038069595723,7.127999470640616,6.406038069595723,6.429847664742491,0.0,0.21350861812594318,2,1429
robust,D,corruption,lam14_xi0.75_tau3,125,5,8.145083617230965,6.406038069595723,97,blur,,6.406038069595723,7.127999470640616,6.406038069595723,6.41980901492147,0.0,0.21350861812594318,2,1429
standard,A,uniform,lam28_xi1.0_tau3,126,6,13.755189192319087,13.755189192319087,27,,,,,7.823149238189127,7.8359431430391,0.4312583324875253,0.4312583324875253,21,1490
standard,B,uniform,lam14_xi0.75_tau3,126,6,13.755189192319087,13.755189192319087,27,,,,,11.986414941249667,11.991630337264013,0.12858959817558202,0.12858959817558202,4,1499
standard,C,corruption,lam28_xi1.0_tau3,126,6,13.755189192319087,2.535329487924036,142,blur,2.5654563641785484,2.535329487924036,4.007053853313267,2.185043827821938,2.185352677500196,0.13816178992534683,0.8411476718152253,20,1378
standard,D,corruption,lam14_xi0.75_tau3,126,6,13.755189192319087,2.535329487924036,142,blur,2.5654563641785484,2.535329487924036,4.007053853313267,1.9453479083276575,1.9453479083276575,0.232704105090287,0.8585735258796773,24,1385
robust,A,uniform,lam28_xi1.0_tau3,126,6,12.515311079090903,12.515311079090903,27,,,,,11.146188424221167,11.146188424221167,0.10939581495158389,0.10939581495158389,15,1496
robust,B,uniform,lam14_xi0.75_tau3,126,6,12.515311079090903,12.515311079090903,27,,,,,11.988155076425796,12.003456466643446,0.04212088691473412,0.04212088691473412,8,1499
robust,C,corruption,lam28_xi1.0_tau3,126,6,12.515311079090903,5.080753064865219,143,blur,5.196954692811996,5.080753064865219,7.657313298796876,5.075657771811218,5.075657771811218,0.0010028617783524652,0.5944441380853069,19,1367
robust,D,corruption,lam14_xi0.75_tau3,126,6,12.515311079090903,5.080753064865219,143,blur,5.196954692811996,5.080753064865219,7.657313298796876,5.067692778288384,5.067692778288384,0.002570541494557169,0.5950805580250511,26,1373
standard,A,uniform,lam28_xi1.0_tau3,127,3,6.216052849730646,6.216052849730646,27,,,,,2.639813690307081,2.639813690307081,0.5753231585826254,0.5753231585826254,21,1473
standard,B,uniform,lam14_xi0.75_tau3,127,3,6.216052849730646,6.216052849730646,27,,,,,2.832392853457777,2.8416218658261596,0.5443422181359816,0.5443422181359816,32,1500
standard,C,corruption,lam28_xi1.0_tau3,127,3,6.216052849730646,2.861184168717696,87,blur,,2.861184168717696,3.157913436928757,2.861184168717696,2.864650384656349,0.0,0.5397104500419946,2,1439
standard,D,corruption,lam14_xi0.75_tau3,127,3,6.216052849730646,2.861184168717696,87,blur,,2.861184168717696,3.157913436928757,2.861120076984791,2.8632485031641113,2.2400422037011318e-05,0.5397207607221729,5,1439
robust,A,uniform,lam28_xi1.0_tau3,127,3,7.52369031584905,7.52369031584905,27,,,,,7.52369031584905,7.617976061188722,0.0,0.0,12,1500
robust,B,uniform,lam14_xi0.75_tau3,127,3,7.52369031584905,7.52369031584905,27,,,,,7.52369031584905,7.549567465263256,0.0,0.0,8,1499
robust,C,corruption,lam28_xi1.0_tau3,127,3,7.52369031584905,5.332358807221319,97,blur,,5.332358807221319,7.208317515018281,5.314266124333105,5.321627483920721,0.0033929980225097978,0.2936622985214685,20,1404
robust,D,corruption,lam14_xi0.75_tau3,127,3,7.52369031584905,5.332358807221319,97,blur,,5.332358807221319,7.208317515018281,5.152314221226324,5.152314221226324,0.03376452945198865,0.31518789251961865,24,1403
standard,A,uniform,lam28_xi1.0_tau3,128,8,4.009934626392343,4.009934626392343,27,,,,,2.9442920992354646,2.9444885193671295,0.26575059856165667,0.26575059856165667,11,1499
standard,B,uniform,lam14_xi0.75_tau3,128,8,4.009934626392343,4.009934626392343,27,,,,,2.8865090484297826,2.886641171119522,0.28016057183787146,0.28016057183787146,24,1499
standard,C,corruption,lam28_xi1.0_tau3,128,8,4.009934626392343,2.361520194608368,132,blur,2.4548384831092123,2.361520194608368,3.1640527569202495,2.361520194608368,2.3818188171732233,0.0,0.4110826198847585,2,1394
standard,D,corruption,lam14_xi0.75_tau3,128,8,4.009934626392343,2.361520194608368,132,blur,2.4548384831092123,2.361520194608368,3.1640527569202495,2.361520194608368,2.3742450018379637,0.0,0.4110826198847585,4,1394
robust,A,uniform,lam28_xi1.0_tau3,128,8,10.779334839716801,10.779334839716801,27,,,,,10.450497685463388,10.450497685463388,0.030506256568058606,0.030506256568058606,13,1495
robust,B,uniform,lam14_xi0.75_tau3,128,8,10.779334839716801,10.779334839716801,27,,,,,10.531855051220873,10.531855051220873,0.02295872539222747,0.02295872539222747,14,1499
robust,C,corruption,lam28_xi1.0_tau3,128,8,10.779334839716801,11.899744553859922,51,fractal,,,11.899744553859922,9.770092481733927,9.770092481733927,0.17896620070177882,0.09362751718819314,16,1452
robust,D,corruption,lam14_xi0.75_tau3,128,8,10.779334839716801,11.899744553859922,51,fractal,,,11.899744553859922,10.000998848400751,10.016370205300227,0.15956188780903482,0.07220630984096034,3,1475
standard,A,uniform,lam28_xi1.0_tau3,129,7,1.4836417951012035,1.4836417951012035,27,,,,,0.9223187301725536,0.9223187301725536,0.3783413670213843,0.3783413670213843,22,1499
standard,B,uniform,lam14_xi0.75_tau3,129,7,1.4836417951012035,1.4836417951012035,27,,,,,1.0648231605718088,1.0648231605718088,0.2822909383601086,0.2822909383601086,6,1499
